
活动连接

  协议  本地地址          外部地址        状态
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING
  TCP    0.0.0.0:1163           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:1171           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:1536           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:1537           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:1538           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:1539           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:1546           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:1579           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:2222           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:4443           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:5357           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:5555           0.0.0.0:0              LISTENING
  TCP    0.0.0.0:9197           0.0.0.0:0              LISTENING
  TCP    127.0.0.1:1001         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:1162         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:1165         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:1168         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:1168         127.0.0.1:1195         ESTABLISHED
  TCP    127.0.0.1:1168         127.0.0.1:1197         ESTABLISHED
  TCP    127.0.0.1:1168         127.0.0.1:6836         ESTABLISHED
  TCP    127.0.0.1:1168         127.0.0.1:6837         ESTABLISHED
  TCP    127.0.0.1:1168         127.0.0.1:7100         ESTABLISHED
  TCP    127.0.0.1:1168         127.0.0.1:9511         ESTABLISHED
  TCP    127.0.0.1:1169         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:1195         127.0.0.1:1168         ESTABLISHED
  TCP    127.0.0.1:1197         127.0.0.1:1168         ESTABLISHED
  TCP    127.0.0.1:1547         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:1552         127.0.0.1:5354         ESTABLISHED
  TCP    127.0.0.1:1553         127.0.0.1:5354         ESTABLISHED
  TCP    127.0.0.1:3213         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:4456         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4457         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4458         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4459         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4460         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4461         127.0.0.1:5037         TIME_WAIT
  TCP    127.0.0.1:4464         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4465         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4474         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4480         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4484         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4485         127.0.0.1:5037         TIME_WAIT
  TCP    127.0.0.1:4488         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4489         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4490         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4491         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4492         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4493         127.0.0.1:5037         TIME_WAIT
  TCP    127.0.0.1:4496         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4497         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4498         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4499         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4500         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4501         127.0.0.1:5037         TIME_WAIT
  TCP    127.0.0.1:4504         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4505         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4506         127.0.0.1:1168         TIME_WAIT
  TCP    127.0.0.1:4507         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4514         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4518         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4522         127.0.0.1:5037         TIME_WAIT
  TCP    127.0.0.1:4525         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4526         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4527         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4528         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4529         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4530         127.0.0.1:5037         TIME_WAIT
  TCP    127.0.0.1:4533         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4534         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4535         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4536         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4537         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4538         127.0.0.1:5037         TIME_WAIT
  TCP    127.0.0.1:4541         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4542         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4544         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4545         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4546         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4547         127.0.0.1:5037         TIME_WAIT
  TCP    127.0.0.1:4550         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4553         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4556         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4557         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4558         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4559         127.0.0.1:5037         TIME_WAIT
  TCP    127.0.0.1:4560         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4563         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4564         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4565         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4566         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4567         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4568         127.0.0.1:5037         TIME_WAIT
  TCP    127.0.0.1:4571         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:4572         127.0.0.1:1162         TIME_WAIT
  TCP    127.0.0.1:5037         0.0.0.0:0              LISTENING
  TCP    127.0.0.1:5037         127.0.0.1:4462         TIME_WAIT
  TCP    127.0.0.1:5037         127.0.0.1:4463         TIME_WAIT
  TCP    127.0.0.1:5037         127.0.0.1:4486         TIME_WAIT
  TCP    127.0.0.1:5037         127.0.0.1:4487         TIME_WAIT
  TCP    127.0.0.1:5037         127.0.0.1:4494         TIME_WAIT
  TCP    127.0.0.1:5037         127.0.0.1:4495         TIME_WAIT
  TCP    127.0.0.1:5037         127.0.0.1:4502         TIME_WAIT
  TCP    127.0.0.1:5037         127.0.0.1:4503         TIME_WAIT
  TCP    127.0.0.1:5037         127.0.0.1:4523         TIME_WAIT
  TCP    127.0.0.1:5037         127.0.0.1:4524         TIME_WAIT
  TCP    127.0.0.1:5037         127.0.0.1:4531         TIME_WAIT
  TCP    127.0.0.1:5037         127.0.0.1:4532         TIME_WAIT
  TCP    127.0.0.1:5037         127.0.0.1:4539         TIME_WAIT
  TCP    127.0.0.1:5037         127.0.0.1:4540         TIME_WAIT
  TCP    127.0.0.1:5037         127.0.0.1:4548         TIME_WAIT
  TCP    127.0.0.1:5037         127.0.0.1:4549         TIME_WAIT
  TCP    127.0.0.1:5037         127.0.0.1:4561         TIME_WAIT
  TCP    127.0.0.1:5037         127.0.0.1:4562         TIME_WAIT
  TCP    127.0.0.1:5037         127.0.0.1:4569         TIME_WAIT
  TCP    127.0.0.1:5037         127.0.0.1:4570         TIME_WAIT
  TCP    127.0.0.1:5037         127.0.0.1:7125         TIME_WAIT
  TCP    127.0.0.1:5037         127.0.0.1:7128         TIME_WAIT
  TCP    127.0.0.1:5037         127.0.0.1:7136         TIME_WAIT
  TCP    127.0.0.1:5037         127.0.0.1:7137         TIME_WAIT
  TCP    127.0.0.1:5037         127.0.0.1:7144         TIME_WAIT
  TCP    127.0.0.1:5037         127.0.0.1:7145         TIME_WAIT
  TCP    127.0.0.1:5037         127.0.0.1:7153         TIME_WAIT
  TCP    127.0.0.1:5037         127.0.0.1:7154         TIME_WAIT
  TCP    127.0.0.1:5037         127.0.0.1:9350         TIME_WAIT
  TCP    127.0.0.1:5037         127.0.0.1:9351         TIME_WAIT
  TCP    127.0.0.1:5037         127.0.0.1:9382         TIME_WAIT
  TCP    127.0.0.1:5037         127.0.0.1:9383         TIME_WAIT
  TCP    127.0.0.1:5037         127.0.0.1:9391         TIME_WAIT
  TCP    127.0.0.1:5037         127.0.0.1:9392         TIME_WAIT
  TCP    127.0.0.1:5037         127.0.0.1:9405         TIME_WAIT
  TCP    127.0.0.1:5037         127.0.0.1:9406         TIME_WAIT
  TCP    127.0.0.1:5037         127.0.0.1:9427         TIME_WAIT
