hext  | 2025-11-14T15:44:34.555773000Z discovering nat...
hext  | 2025-11-14T15:44:39.558784000Z failed to establish mapping: no nat discovered
hext  | 2025-11-14T16:43:39.559184000Z time's up, re-establishing port mapping...
hext  | 2025-11-14T16:43:39.585517000Z discovering nat...
hext  | 2025-11-14T16:43:44.562725000Z failed to establish mapping: no nat discovered
hext  | 2025-11-14T17:42:44.563048000Z time's up, re-establishing port mapping...
hext  | 2025-11-14T17:42:44.563665000Z discovering nat...
hext  | 2025-11-14T17:42:49.569596000Z failed to establish mapping: no nat discovered
hext  | 2025-11-14T18:41:49.669811000Z time's up, re-establishing port mapping...
hext  | 2025-11-14T18:41:49.671415000Z discovering nat...
hext  | 2025-11-14T18:41:54.677659000Z failed to establish mapping: no nat discovered
hext  | 2025-11-14T19:40:54.774327000Z time's up, re-establishing port mapping...
hext  | 2025-11-14T19:40:54.774988000Z discovering nat...
hext  | 2025-11-14T19:40:59.781330000Z failed to establish mapping: no nat discovered
hext  | 2025-11-14T20:39:59.877545000Z time's up, re-establishing port mapping...
hext  | 2025-11-14T20:39:59.877898000Z discovering nat...
hext  | 2025-11-14T20:40:04.881083000Z failed to establish mapping: no nat discovered
hext  | 2025-11-14T21:39:04.976598000Z time's up, re-establishing port mapping...
hext  | 2025-11-14T21:39:04.978227000Z discovering nat...
hext  | 2025-11-14T21:39:09.981913000Z failed to establish mapping: no nat discovered
hext  | 2025-11-14T22:38:10.081654000Z time's up, re-establishing port mapping...
lzc-recovery  | 2025-11-14T15:44:34.561156000Z Build: not set
hext          | 2025-11-14T22:38:10.082584000Z discovering nat...
hext          | 2025-11-14T22:38:15.088686000Z failed to establish mapping: no nat discovered
lzc-recovery  | 2025-11-14T15:44:34.603347000Z 2025-11-14T23:44:34.602+0800	WARN	disk	disk/fsid.go:25	load "/lzcsys/var/data.disk.uuid" failed, fallback to old style
hext          | 2025-11-14T23:37:15.125657000Z time's up, re-establishing port mapping...
lzc-recovery  | 2025-11-14T15:44:34.617463000Z 2025-11-14T23:44:34.617+0800	WARN	disk	disk/fsid.go:25	load "/lzcsys/var/data.disk.uuid" failed, fallback to old style
hext          | 2025-11-14T23:37:15.126328000Z discovering nat...
lzc-recovery  | 2025-11-14T15:44:34.626685000Z 2025-11-14T23:44:34.625+0800	INFO	disk	disk/check.go:255	data status changed to NotMounted
hext          | 2025-11-14T23:37:20.131320000Z failed to establish mapping: no nat discovered
lzc-recovery  | 2025-11-14T15:44:34.626874000Z 2025-11-14T23:44:34.626+0800	INFO	disk	disk/check.go:296	data disk not mounted, try to mount %q/dev/sda1
hext          | 2025-11-15T00:36:20.131759000Z time's up, re-establishing port mapping...
lzc-recovery  | 2025-11-14T15:44:34.627932000Z 2025-11-14T23:44:34.627+0800	INFO	status	boxStatus/index.go:152	box status init
hext          | 2025-11-15T00:36:20.133028000Z discovering nat...
lzc-recovery  | 2025-11-14T15:44:34.628062000Z 2025-11-14T23:44:34.627+0800	INFO	status	boxStatus/status.go:32	:
hext          | 2025-11-15T00:36:25.137548000Z failed to establish mapping: no nat discovered
lzc-recovery  | 2025-11-14T15:44:34.628124000Z {
hext          | 2025-11-15T01:35:25.139880000Z time's up, re-establishing port mapping...
lzc-recovery  | 2025-11-14T15:44:34.628177000Z   "dataPartition": "NotMounted",
hext          | 2025-11-15T01:35:25.140481000Z discovering nat...
lzc-recovery  | 2025-11-14T15:44:34.628233000Z   "hportalInitialized": true,
hext          | 2025-11-15T01:35:30.143683000Z failed to establish mapping: no nat discovered
lzc-recovery  | 2025-11-14T15:44:34.628283000Z   "startupStatus": {
hext          | 2025-11-15T02:34:30.144834000Z time's up, re-establishing port mapping...
lzc-recovery  | 2025-11-14T15:44:34.628466000Z     "status": "PENDING",
hext          | 2025-11-15T02:34:30.145206000Z discovering nat...
lzc-recovery  | 2025-11-14T15:44:34.628553000Z     "exception": "Ok",
hext          | 2025-11-15T02:34:35.148584000Z failed to establish mapping: no nat discovered
lzc-recovery  | 2025-11-14T15:44:34.628759000Z     "exceptionData": "disk status is NotMounted"
hext          | 2025-11-15T03:33:35.149397000Z time's up, re-establishing port mapping...
lzc-recovery  | 2025-11-14T15:44:34.628899000Z   },
