app-1  | 2025-11-14T15:44:42.672629000Z Start Child Process: [sh -c exec /lzcapp/pkg/content/lzcshell]
app-1  | 2025-11-14T15:44:42.672739000Z PATH:"/api/" is served by {/api/ false  http://127.0.0.1:8900 false exec /lzcapp/pkg/content/lzcshell false false  false [] false false []}
app-1  | 2025-11-14T15:44:42.672767000Z PATH:"/builtin/" is served by {/builtin/ false  file:///lzcsys/var/cache/preinstalled/lpks/ true  false true  false [] false false []}
app-1  | 2025-11-14T15:44:42.672790000Z PATH:"/settings/box-bridge/" is served by {/settings/box-bridge/ false  http://app:8801 true  false true  false [] false false []}
app-1  | 2025-11-14T15:44:42.672816000Z PATH:"/settings/" is served by {/settings/ false  file:///lzcapp/pkg/content/settings true  false true  false [] false false []}
app-1  | 2025-11-14T15:44:42.672839000Z PATH:"/" is served by {/ false  file:///lzcapp/pkg/content/launcher true  false true  false [] false false []}
app-1  | 2025-11-14T15:44:42.672866000Z auto generated lzc health check is disabled
app-1  | 2025-11-14T15:44:42.701126000Z [GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
app-1  | 2025-11-14T15:44:42.701399000Z  - using env:	export GIN_MODE=release
app-1  | 2025-11-14T15:44:42.701461000Z  - using code:	gin.SetMode(gin.ReleaseMode)
app-1  | 2025-11-14T15:44:42.701505000Z 
app-1  | 2025-11-14T15:44:42.701541000Z [GIN-debug] GET    /ping                     --> main.Ping (1 handlers)
app-1  | 2025-11-14T15:44:42.701574000Z [GIN-debug] GET    /speed-test               --> main.handleSpeedTest (1 handlers)
app-1  | 2025-11-14T15:44:42.701602000Z [GIN-debug] GET    /proxy_it/*upstream       --> main.setupWeb.func1 (1 handlers)
app-1  | 2025-11-14T15:44:42.701635000Z [GIN-debug] POST   /proxy_it/*upstream       --> main.setupWeb.func1 (1 handlers)
app-1  | 2025-11-14T15:44:42.701672000Z [GIN-debug] PUT    /proxy_it/*upstream       --> main.setupWeb.func1 (1 handlers)
app-1  | 2025-11-14T15:44:42.701705000Z [GIN-debug] PATCH  /proxy_it/*upstream       --> main.setupWeb.func1 (1 handlers)
app-1  | 2025-11-14T15:44:42.701825000Z [GIN-debug] HEAD   /proxy_it/*upstream       --> main.setupWeb.func1 (1 handlers)
app-1  | 2025-11-14T15:44:42.701849000Z [GIN-debug] OPTIONS /proxy_it/*upstream       --> main.setupWeb.func1 (1 handlers)
app-1  | 2025-11-14T15:44:42.701873000Z [GIN-debug] DELETE /proxy_it/*upstream       --> main.setupWeb.func1 (1 handlers)
app-1  | 2025-11-14T15:44:42.701896000Z [GIN-debug] CONNECT /proxy_it/*upstream       --> main.setupWeb.func1 (1 handlers)
app-1  | 2025-11-14T15:44:42.701917000Z [GIN-debug] TRACE  /proxy_it/*upstream       --> main.setupWeb.func1 (1 handlers)
app-1  | 2025-11-14T15:44:42.701941000Z [GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
iscsi-1  | 2025-11-14T15:44:42.544631000Z 2025/11/14 15:44:42 lzc-shell iscsi serving
iscsi-1  | 2025-11-14T15:44:42.544880000Z 2025/11/14 15:44:42 started iscsid with pid 15
app-1    | 2025-11-14T15:44:42.701961000Z  - using env:	export GIN_MODE=release
app-1    | 2025-11-14T15:44:42.701989000Z  - using code:	gin.SetMode(gin.ReleaseMode)
app-1    | 2025-11-14T15:44:42.702016000Z 
app-1    | 2025-11-14T15:44:42.702041000Z [GIN-debug] POST   /messages                 --> cloud.lazycat.shell.settings/bridge.(*Message).getUserNoTrustDeviceMessages-fm (1 handlers)
app-1    | 2025-11-14T15:44:42.702073000Z [GIN-debug] POST   /no-trust-device          --> cloud.lazycat.shell.settings/bridge.(*Message).noTrustDevice-fm (1 handlers)
app-1    | 2025-11-14T15:44:42.702100000Z [GIN-debug] POST   /mark-as-read             --> cloud.lazycat.shell.settings/bridge.(*Message).markAsRead-fm (1 handlers)
app-1    | 2025-11-14T15:44:42.702351000Z [GIN-debug] POST   /reset-passwd-securitycode --> cloud.lazycat.shell.settings/service.(*RecoveryWrapper).GenResetPasswordSecurityCode-fm (1 handlers)
app-1    | 2025-11-14T15:44:42.702411000Z [GIN-debug] POST   /gen-invite-user-qrcode   --> cloud.lazycat.shell.settings/service.(*RecoveryWrapper).GenInviteUserQrcode-fm (1 handlers)
app-1    | 2025-11-14T15:44:42.702430000Z [GIN-debug] GET    /rfkill/status            --> cloud.lazycat.shell.settings/service.(*RFKillService).GetRFKillStatusHandler-fm (1 handlers)
app-1    | 2025-11-14T15:44:42.702450000Z [GIN-debug] POST   /rfkill/set-state         --> cloud.lazycat.shell.settings/service.(*RFKillService).SetRFKillStateHandler-fm (1 handlers)
app-1    | 2025-11-14T15:44:42.702469000Z [GIN-debug] POST   /rfkill/apply-stored-state --> main.setupWeb.func2 (1 handlers)
app-1    | 2025-11-14T15:44:42.702489000Z [GIN-debug] POST   /dotstatus/set            --> cloud.lazycat.shell.settings/service.(*DotStatusService).SetDotStatus-fm (1 handlers)
app-1    | 2025-11-14T15:44:42.702511000Z [GIN-debug] GET    /dotstatus/ws             --> cloud.lazycat.shell.settings/service.(*DotStatusService).DotStatusWS-fm (1 handlers)
app-1    | 2025-11-14T15:44:42.702530000Z [GIN-debug] GET    /dotstatus/get            --> cloud.lazycat.shell.settings/service.(*DotStatusService).GetDotStatus-fm (1 handlers)
app-1    | 2025-11-14T15:44:42.702548000Z [GIN-debug] POST   /force_change_device_id   --> cloud.lazycat.shell.settings/service.(*ForceChangeDeviceService).ForceChangeDeviceIdHandler-fm (1 handlers)
app-1    | 2025-11-14T15:44:42.702571000Z [GIN-debug] GET    /timezone/status          --> cloud.lazycat.shell.settings/service.(*TimezoneService).GetTimezoneInitStatus-fm (1 handlers)
app-1    | 2025-11-14T15:44:42.702591000Z [GIN-debug] POST   /timezone/set-state       --> cloud.lazycat.shell.settings/service.(*TimezoneService).FixTimezoneInitStatus-fm (1 handlers)
app-1    | 2025-11-14T15:44:42.702638000Z [GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
app-1    | 2025-11-14T15:44:42.702668000Z  - using env:	export GIN_MODE=release
app-1    | 2025-11-14T15:44:42.702686000Z  - using code:	gin.SetMode(gin.ReleaseMode)
app-1    | 2025-11-14T15:44:42.702703000Z 
app-1    | 2025-11-14T15:44:42.702723000Z [GIN-debug] POST   /has-new-verison-app-count --> cloud.lazycat.shell.settings/bridge.(*AppStore).HasNewVersionAppCount-fm (1 handlers)
app-1    | 2025-11-14T15:44:42.702743000Z [GIN-debug] POST   /scheduled-update         --> cloud.lazycat.shell.settings/bridge.(*AppStore).ScheduledUpdatePost-fm (1 handlers)
app-1    | 2025-11-14T15:44:42.702762000Z [GIN-debug] POST   /scheduled-change-timer   --> cloud.lazycat.shell.settings/bridge.(*AppStore).ChangeUpdateTimer-fm (1 handlers)
app-1    | 2025-11-14T15:44:42.702783000Z [GIN-debug] GET    /scheduled-update         --> cloud.lazycat.shell.settings/bridge.(*AppStore).ScheduledUpdateGet-fm (1 handlers)
app-1    | 2025-11-14T15:45:12.752286000Z Connected PKGM
app-1    | 2025-11-14T15:54:42.701762000Z Failed to apply stored RFKill state: open /lzcapp/var/rfkill_state.json: no such file or directory
app-1    | 2025-11-14T15:54:42.702396000Z Applying stored RFKill state after 10 minutes...
app-1    | 2025-11-15T03:45:28.860043000Z 2025/11/15 03:45:28 RunValueLogGC(): Value log GC attempt didn't result in any cleanup
app-1    | 2025-11-15T03:47:56.145753000Z 2025/11/15 03:47:56 RunValueLogGC(): Value log GC attempt didn't result in any cleanup
app-1    | 2025-11-15T10:03:52.926514000Z 2025/11/15 10:03:52 http: proxy error: context canceled
app-1    | 2025-11-15T15:45:28.860238000Z 2025/11/15 15:45:28 RunValueLogGC(): Value log GC attempt didn't result in any cleanup
app-1    | 2025-11-15T15:47:56.145576000Z 2025/11/15 15:47:56 RunValueLogGC(): Value log GC attempt didn't result in any cleanup
app-1    | 2025-11-16T03:45:28.860600000Z 2025/11/16 03:45:28 RunValueLogGC(): Value log GC attempt didn't result in any cleanup
app-1    | 2025-11-16T03:47:56.146079000Z 2025/11/16 03:47:56 RunValueLogGC(): Value log GC attempt didn't result in any cleanup
