Module                  Size  Used by
udp_diag               12288  0
tcp_diag               12288  0
inet_diag              28672  2 tcp_diag,udp_diag
vhost_net              36864  1
vhost                  69632  1 vhost_net
vhost_iotlb            16384  1 vhost
tap                    28672  1 vhost_net
xt_CHECKSUM            12288  1
xt_multiport           16384  1
scsi_transport_iscsi   180224  1
ip6t_REJECT            12288  2
nf_reject_ipv6         24576  1 ip6t_REJECT
xt_REDIRECT            16384  2
xt_TPROXY              12288  1
nf_tproxy_ipv6         16384  1 xt_TPROXY
nf_tproxy_ipv4         16384  1 xt_TPROXY
ccm                    20480  0
xt_nat                 12288  240
nf_conntrack_netlink    61440  0
veth                   40960  0
xt_tcpudp              16384  0
snd_hda_intel          61440  0
bfq                   110592  2
xt_conntrack           12288  50
nft_chain_nat          12288  125
xt_MASQUERADE          16384  54
nf_nat                 65536  4 xt_nat,nft_chain_nat,xt_MASQUERADE,xt_REDIRECT
nf_conntrack          212992  6 xt_conntrack,nf_nat,xt_nat,nf_conntrack_netlink,xt_MASQUERADE,xt_REDIRECT
nf_defrag_ipv6         24576  2 nf_conntrack,xt_TPROXY
nf_defrag_ipv4         12288  2 nf_conntrack,xt_TPROXY
bridge                385024  0
stp                    12288  1 bridge
llc                    16384  2 bridge,stp
xfrm_user              61440  3
xfrm_algo              16384  1 xfrm_user
cmac                   12288  1
xt_addrtype            12288  4
nft_compat             24576  355
nf_tables             372736  4214 nft_compat,nft_chain_nat
nfnetlink              20480  6 nft_compat,nf_conntrack_netlink,nf_tables
bnep                   36864  2
sunrpc                876544  1
binfmt_misc            28672  1
tun                    69632  8 vhost_net
intel_rapl_msr         20480  0
intel_rapl_common      36864  1 intel_rapl_msr
x86_pkg_temp_thermal    16384  0
intel_powerclamp       16384  0
coretemp               16384  0
iwlmvm                593920  0
kvm_intel             409600  2
snd_hda_codec_hdmi     94208  1
mac80211             1400832  1 iwlmvm
libarc4                12288  1 mac80211
btusb                  81920  0
kvm                  1359872  1 kvm_intel
snd_sof_pci_intel_tgl    12288  0
btrtl                  28672  1 btusb
snd_hda_codec_realtek   192512  1
btbcm                  24576  1 btusb
btintel                57344  1 btusb
irqbypass              12288  1 kvm
snd_sof_intel_hda_common   204800  1 snd_sof_pci_intel_tgl
snd_hda_codec_generic   114688  1 snd_hda_codec_realtek
btmtk                  12288  1 btusb
crct10dif_pclmul       12288  1
soundwire_intel        61440  1 snd_sof_intel_hda_common
ledtrig_audio          12288  1 snd_hda_codec_generic
crc32_pclmul           12288  0
soundwire_generic_allocation    12288  1 soundwire_intel
snd_sof_intel_hda_mlink    40960  2 soundwire_intel,snd_sof_intel_hda_common
iwlwifi               544768  1 iwlmvm
soundwire_cadence      45056  1 soundwire_intel
bluetooth            1134592  23 btrtl,btmtk,btintel,btbcm,bnep,btusb
snd_sof_intel_hda      24576  1 snd_sof_intel_hda_common
ghash_clmulni_intel    16384  0
snd_sof_pci            24576  2 snd_sof_intel_hda_common,snd_sof_pci_intel_tgl
snd_sof_xtensa_dsp     16384  1 snd_sof_intel_hda_common
snd_sof               360448  3 snd_sof_pci,snd_sof_intel_hda_common,snd_sof_intel_hda
aesni_intel           360448  1
btrfs                2023424  2
snd_sof_utils          16384  1 snd_sof
snd_soc_hdac_hda       24576  1 snd_sof_intel_hda_common
crypto_simd            16384  1 aesni_intel
snd_hda_ext_core       36864  4 snd_sof_intel_hda_common,snd_soc_hdac_hda,snd_sof_intel_hda_mlink,snd_sof_intel_hda
cryptd                 28672  2 crypto_simd,ghash_clmulni_intel
snd_soc_acpi_intel_match    90112  2 snd_sof_intel_hda_common,snd_sof_pci_intel_tgl
rapl                   20480  0
snd_soc_acpi           12288  2 snd_soc_acpi_intel_match,snd_sof_intel_hda_common
blake2b_generic        24576  0
intel_cstate           20480  0
xor                    20480  1 btrfs
sha3_generic           16384  1
jitterentropy_rng      20480  1
snd_soc_core          421888  4 soundwire_intel,snd_sof,snd_sof_intel_hda_common,snd_soc_hdac_hda
snd_compress           28672  1 snd_soc_core
soundwire_bus         114688  3 soundwire_intel,soundwire_generic_allocation,soundwire_cadence
sha512_ssse3           45056  1
snd_intel_dspcfg       32768  3 snd_hda_intel,snd_sof,snd_sof_intel_hda_common
snd_intel_sdw_acpi     16384  2 snd_sof_intel_hda_common,snd_intel_dspcfg
sha512_generic         16384  1 sha512_ssse3
i915                 3936256  3
