UID          PID    PPID  C STIME TTY          TIME CMD
root        1242    1229  0 Nov14 ?        00:00:28 /lib/systemd/systemd
root        1334    1242  0 Nov14 ?        00:00:03 /lib/systemd/systemd-journald
root        1350    1242  0 Nov14 ?        00:00:01 /lib/systemd/systemd-udevd
102         1459    1242  0 Nov14 ?        00:00:00 /sbin/rpcbind -f -w
message+    1572    1242  0 Nov14 ?        00:01:30 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
61876       1581    1242  0 Nov14 ?        00:00:09 /usr/bin/earlyoom -r 3600
root        1587    1242  0 Nov14 ?        00:00:00 /lib/systemd/systemd-logind
root        1646    1242  0 Nov14 ?        00:00:00 /usr/libexec/bluetooth/bluetoothd
root        1651    1242  0 Nov14 ?        00:16:50 /usr/bin/containerd
root        1656    1242  0 Nov14 tty1     00:00:00 /sbin/agetty -o -p -- \u --noclear - linux
root        1660    1242  0 Nov14 ?        00:00:04 /lib/systemd/systemd --user
root        1667    1660  0 Nov14 ?        00:00:00 (sd-pam)
root        1952    1242  0 Nov14 ?        00:20:03 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
root        2144    1242  0 Nov14 ?        00:00:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
root        2493    1242  0 Nov14 ?        00:00:13 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 8abb27492073eea569fb229fa1268e72083838af98e9480028d2a934d88294bd -address /run/containerd/containerd.sock
root        2494    1242  0 Nov14 ?        00:00:14 /usr/bin/containerd-shim-runc-v2 -namespace moby -id cbd5c9af5aab8d5d884923f983f145e1fc2d4bfeaa7c2afafaa8bcbd3647c084 -address /run/containerd/containerd.sock
root        2534    2493  0 Nov14 ?        00:02:26 /sspk/bin/hext -l /lzcsys/var/log/monitors/hext.log
root        2535    2494  0 Nov14 ?        00:00:04 /sbin/docker-init -- /sspk/bin/lzc-recovery daemon
root        2554    2535  0 Nov14 ?        00:21:27 /sspk/bin/lzc-recovery daemon
root        2602    2534  0 Nov14 ?        00:00:17 /lzcsys/bin/nm/nmcli monitor
root        2675    2554  0 Nov14 ?        00:00:00 dmesg -w
root        2716    1242  0 Nov14 ?        00:00:12 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 8de7c46e14143ce9cf89c7e85ac278770f322e0387139dd7c578c97aaebeec2b -address /run/containerd/containerd.sock
root        2736    2716  0 Nov14 ?        00:00:04 /sbin/docker-init -- /sspk/lzc-hal
root        2750    2736  0 Nov14 ?        00:02:38 ld-linux-x86-64.so.2 --argv0 /sspk/lzc-hal --preload /lib/libgcompat.so.0  -- /sspk/lzc-hal
root        2859    1242  0 Nov14 ?        00:00:12 /usr/bin/containerd-shim-runc-v2 -namespace moby -id fca647c06b455f0e3a267916c73da140ad21b502564d6616015b2326839df5f4 -address /run/containerd/containerd.sock
root        2878    2859  0 Nov14 ?        00:00:04 /sspk/lzc-installer
root        3039    1242  0 Nov14 ?        00:00:11 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 5d7aa52b1cac65e84d1572271b1845ddda8874680cef12559d400bf2e363c7f1 -address /run/containerd/containerd.sock
root        3060    3039  0 Nov14 ?        00:00:05 /sspk/lzc-registry-proxy
root        3344    1242  0 Nov14 ?        00:02:14 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 51f62b239bb3613ba0599899bae617059d41315c215886eefa13609e463bb957 -address /run/containerd/containerd.sock
root        3372    1242  0 Nov14 ?        00:00:11 /usr/bin/containerd-shim-runc-v2 -namespace moby -id e40430a95da830c9a071d64334b860843d146f72d3a46b8d7d0d2c7c5d4244f9 -address /run/containerd/containerd.sock
root        3394    3344  1 Nov14 ?        00:34:57 /sspk/bin/lzc-apiserver
1000        3402    3372  0 Nov14 ?        00:00:14 dex serve /tmp/config.yaml
root        3449    1242  0 Nov14 ?        00:00:12 /usr/bin/containerd-shim-runc-v2 -namespace moby -id fa6aabd66175e3feb5ac5ed45e1facc91bea21d15b7974395e4e27ea5e6dcd5e -address /run/containerd/containerd.sock
root        3475    3449  0 Nov14 ?        00:00:00 /sspk/bin/pd-service
root        3507    3475  0 Nov14 ?        00:00:02 /sspk/bin/pd-service
root        3526    3475  0 Nov14 ?        00:00:00 /lib/systemd/systemd-udevd --daemon
root        4272    1242  0 Nov14 ?        00:02:05 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 791742f4c5b585108fe4e12fe7f50842f5528ee64d8df974c33326ecd7e9829d -address /run/containerd/containerd.sock
root        4287    1242  0 Nov14 ?        00:02:18 /usr/bin/containerd-shim-runc-v2 -namespace moby -id 65fd62496ce086217c91ace54e1682af1469f54adb85a5320dc34d6be413ae21 -address /run/containerd/containerd.sock
root        4335    4272  0 Nov14 ?        00:00:04 /sbin/docker-init -- /sspk/bin/lzc-ingress -a
root        4343    4287  0 Nov14 ?        00:00:04 /sbin/docker-init -- /sspk/bin/lzc-pkgm
root        4367    4343  0 Nov14 ?        00:13:38 /sspk/bin/lzc-pkgm
root        4380    4335  0 Nov14 ?        00:01:32 /sspk/bin/lzc-ingress -a
root        4439    1242  2 Nov14 ?        01:06:14 /usr/bin/dockerd --config-file /lzcsys/etc/docker/daemon.json
