CONTAINER ID   NAME                                          CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
81dfe4fd2362   cloudlazycatdevelopertools-registry-proxy-1   0.00%     2.082MiB / 15.39GiB   0.01%     0B / 0B           1.55MB / 0B       2
9f8877ce6f9c   cloudlazycatdevelopertools-app-1              0.02%     38.04MiB / 15.39GiB   0.24%     274kB / 3.84kB    44.3MB / 33.8MB   38
06547fa1b0ca   cloudlazycatdevelopertools-registry-1         0.00%     14.61MiB / 15.39GiB   0.09%     277kB / 1.66kB    14.8MB / 0B       10
ac3482f35b35   cloudlazycatdevelopertools-dozzle-1           0.00%     21.71MiB / 15.39GiB   0.14%     278kB / 1.66kB    11.9MB / 0B       13
6d6ebdc51570   cloudlazycatappforward-app-1                  0.00%     11.86MiB / 15.39GiB   0.08%     2.21MB / 2.25MB   692kB / 0B        13
3e8a45dd32d5   cloudlazycatappforward-lan-1                  0.00%     17.17MiB / 15.39GiB   0.11%     0B / 0B           19.2MB / 0B       15
b0f6e1822ab8   cloudlazycatappphoto-app-1                    1.20%     233.8MiB / 15.39GiB   1.48%     48.9MB / 18.8MB   474MB / 65.1MB    29
8faee164fdb0   cloudlazycatappphoto-photosearch-1            0.01%     1.209GiB / 15.39GiB   7.85%     898kB / 4.12MB    2.11GB / 687MB    39
1e5130fe8aa2   cloudlazycatappphoto-postgres-1               0.00%     28.03MiB / 15.39GiB   0.18%     438kB / 1.51kB    29.2MB / 161MB    8
6074fa3459ab   cloudlazycatappphoto-weaviate-1               0.91%     113.9MiB / 15.39GiB   0.72%     16.8MB / 43.7MB   62.3MB / 65.4MB   15
633898f317b0   cloudlzcappqemu-qemu-1                        0.08%     154.7MiB / 15.39GiB   0.98%     1.03MB / 623kB    121MB / 137MB     17
e07eb14b137e   cloudlzcappqemu-app-1                         0.00%     12.89MiB / 15.39GiB   0.08%     1.66MB / 1.08MB   16.4kB / 0B       13
f7504ce4803c   cloudlazycataipodrag-backend-1                0.23%     39.32MiB / 15.39GiB   0.25%     1.26GB / 595MB    45MB / 528kB      12
e25a2994a42e   cloudlazycataipodrag-caddy-1                  0.00%     18.57MiB / 15.39GiB   0.12%     1.27MB / 1.72kB   795kB / 5.07MB    21
4c31b456cfeb   cloudlazycataipodrag-postgres-1               1.76%     198.4MiB / 2GiB       9.69%     592MB / 1.17GB    513MB / 3.29GB    8
86cac99ecb3e   cloudlazycataipodrag-backend_videorag-1       0.15%     30.29MiB / 5GiB       0.59%     2.65MB / 7.04MB   101MB / 55MB      3
61a23ae8593a   cloudlazycataipodrag-backend_rag-1            0.14%     38.62MiB / 5GiB       0.75%     41.1MB / 43.8MB   34MB / 159MB      10
1f39777be01c   cloudlazycataipodrag-backend_filechat-1       0.15%     72.74MiB / 15.39GiB   0.46%     1.27MB / 1.72kB   43.9MB / 512kB    2
c614148b5c2d   cloudlazycataipodrag-backend_jieba-1          0.01%     385.6MiB / 15.39GiB   2.45%     1.23MB / 1.72kB   37MB / 54.4MB     5
4ea2fc16b064   cloudlazycataipodrag-app-1                    0.36%     15.06MiB / 15.39GiB   0.10%     4.16MB / 2.95MB   0B / 0B           13
e46ce7898ded   comlxyappclash-clash-1                        2.35%     62.47MiB / 15.39GiB   0.40%     0B / 0B           78.3MB / 233kB    37
2aa1cd4ecb4e   comlxyappclash-app-1                          0.00%     14.42MiB / 15.39GiB   0.09%     1.38MB / 35.3kB   65.5kB / 0B       15
f6d05025b77b   xyzmxuemaxkb-maxkb-1                          0.36%     1.943GiB / 15.39GiB   12.62%    1.74MB / 3.49MB   118MB / 658MB     82
da928bbc14df   xyzmxuemaxkb-app-1                            0.00%     12.25MiB / 15.39GiB   0.08%     5.22MB / 3.78MB   32.8kB / 0B       13
94e19b39929a   cloudlazycatappcreate-app-1                   0.00%     12.81MiB / 15.39GiB   0.08%     1.53MB / 814kB    1.65MB / 57.3kB   14
1b5ebc5c35eb   cloudlazycatappcreate-fs-1                    0.00%     17.14MiB / 15.39GiB   0.11%     1.47MB / 2.08kB   47MB / 0B         7
0a4bc94f69f9   cloudlazycataipodknowledge-backend-1          0.15%     127MiB / 15.39GiB     0.81%     1.59MB / 44.3kB   5.15MB / 2.85MB   16
b967afcb364a   cloudlazycataipodknowledge-postgres-1         0.00%     66.05MiB / 15.39GiB   0.42%     1.55MB / 30.1kB   27MB / 139MB      9
94074c01b718   cloudlazycataipodknowledge-fileloader-1       0.13%     108.5MiB / 15.39GiB   0.69%     1.53MB / 1.86kB   120MB / 48.7MB    9
03d0b1b58431   cloudlazycataipodknowledge-caddy-1            0.00%     53.55MiB / 15.39GiB   0.34%     1.63MB / 6.91MB   32.4MB / 2.59MB   23
9c03a296cfa7   cloudlazycataipodknowledge-app-1              0.00%     13.61MiB / 15.39GiB   0.09%     8.56MB / 6.96MB   684kB / 0B        14
4d426929027a   cloudlazycatapplogviewer-webapp-1             0.12%     27.12MiB / 15.39GiB   0.17%     16.1MB / 5.43MB   25.4MB / 106MB    3
789910d2bdf8   cloudlazycatapplogviewer-app-1                0.00%     11.99MiB / 15.39GiB   0.08%     7.48MB / 5.48MB   123kB / 205kB     13
16481e1a6a8c   cloudlazycatappjellyfinsingle-jellyfin-1      0.00%     145.9MiB / 15.39GiB   0.93%     3.08MB / 2.55MB   313MB / 33MB      18
ac2984447584   cloudlazycatappjellyfinsingle-app-1           0.00%     12.85MiB / 15.39GiB   0.08%     2.79MB / 7.89kB   32.8kB / 81.9kB   13
42ac4c47098c   cloudlazycatapponemcp-onemcp-1                0.00%     123.2MiB / 15.39GiB   0.78%     14.9MB / 1.16MB   134MB / 64.1MB    35
20771b056459   cloudlazycatapponemcp-app-1                   0.00%     12.46MiB / 15.39GiB   0.08%     3.56MB / 569kB    0B / 0B           13
a03b45c4ae3a   topj0k3rlpk-inspector-app-1                   0.04%     13.96MiB / 15.39GiB   0.09%     3.32MB / 2.68MB   2.76MB / 0B       13
b01803726dd1   cloudlazycatappdockge-back-1                  0.13%     87.81MiB / 15.39GiB   0.56%     3.38MB / 1.1MB    221MB / 78.3MB    47
f7f79e9043d4   cloudlazycatappdockge-app-1                   0.00%     12.32MiB / 15.39GiB   0.08%     4.46MB / 1.28MB   16.4kB / 0B       14
0e909255e0a6   cloudlazycatappcustomrelay-app-1              0.89%     293.6MiB / 15.39GiB   1.86%     300MB / 293MB     35.5MB / 2.39MB   30
bf11feb443ce   cloudlazycatappai-backend-1                   2.66%     36.05MiB / 15.39GiB   0.23%     268MB / 133MB     44.9MB / 156kB    11
9d86db7fc369   cloudlazycatappai-convert-1                   0.21%     24.42MiB / 15.39GiB   0.15%     154MB / 91MB      29.3MB / 81.9kB   11
5f72e8e169ef   lazycatcommunityappopenlist-openlist-1        0.01%     27.84MiB / 15.39GiB   0.18%     4.7MB / 1.71MB    85MB / 3.69MB     16
921de5a6b269   lazycatcommunityappopenlist-app-1             0.00%     12.31MiB / 15.39GiB   0.08%     6.36MB / 1.75MB   0B / 0B           13
2d69322ac75b   cloudlazycatappai-postgres-1                  0.07%     47.11MiB / 15.39GiB   0.30%     97.1MB / 160MB    40.5MB / 27.1MB   10
a8168fa366c6   cloudlazycatappai-caddy-1                     0.00%     40.21MiB / 15.39GiB   0.26%     106MB / 107MB     47.8MB / 4.97MB   21
c2a386c957c2   cloudlazycatappai-app-1                       0.00%     14.52MiB / 15.39GiB   0.09%     112MB / 108MB     49.2kB / 106kB    14
c22ddfb6a536   cloudlazycatappai-mtrans-1                    0.00%     5.211MiB / 15.39GiB   0.03%     4.61MB / 4.24kB   102MB / 578MB     10
ea760d245b88   cloudlazycatappai-mdns_discovery-1            0.30%     30.45MiB / 15.39GiB   0.19%     0B / 0B           20.3MB / 61.4kB   11
0245f0a5895b   cloudlazycatshellfiles-smbserver-1            0.00%     21.02MiB / 15.39GiB   0.13%     4.78MB / 8.29MB   54MB / 15.5MB     18
41bf21e970cd   cloudlazycatappcontacts-app-1                 0.00%     34.36MiB / 15.39GiB   0.22%     4.63MB / 18.3kB   26.7MB / 2.46MB   23
e431293aae03   cloudlazycatshellfiles-lzcmedia-1             0.00%     30.56MiB / 15.39GiB   0.19%     15MB / 12.7MB     788MB / 150MB     11
6d6174296212   cloudlazycatshellfiles-tts-1                  0.00%     3.73MiB / 15.39GiB    0.02%     4.63MB / 4.31kB   10.7MB / 4.31MB   6
d2068bff4daf   cloudlazycatshellfiles-app-1                  2.53%     267.6MiB / 15.39GiB   1.70%     229MB / 3.9GB     3.65GB / 156MB    113
684bb7777299   cloudlazycatshellfiles-smbforward-1           0.42%     19.5MiB / 15.39GiB    0.12%     0B / 0B           35.6MB / 635kB    13
2fc3045a36a6   cloudlazycatshellfiles-mountserver-1          0.00%     16.32MiB / 15.39GiB   0.10%     4.76MB / 127kB    17.5MB / 369kB    18
1be9683beb30   cloudlazycatshellfiles-lzcai-1                0.00%     15.43MiB / 15.39GiB   0.10%     13.9MB / 6.58MB   18.6MB / 3.76MB   10
7275ad264088   cloudlazycatshellappstore-app-1               0.65%     44.04MiB / 15.39GiB   0.28%     8.95MB / 6.33MB   1.12MB / 508kB    13

real	0m2.606s
user	0m0.025s
sys	0m0.023s
