UNIT FILE                                  STATE           PRESET
proc-sys-fs-binfmt_misc.automount          static          -
dev-hugepages.mount                        static          -
dev-mqueue.mount                           static          -
proc-sys-fs-binfmt_misc.mount              disabled        disabled
sys-fs-fuse-connections.mount              static          -
sys-kernel-config.mount                    static          -
sys-kernel-debug.mount                     static          -
sys-kernel-tracing.mount                   static          -
systemd-ask-password-console.path          static          -
systemd-ask-password-plymouth.path         static          -
systemd-ask-password-wall.path             static          -
runc-lzc-os.scope                          transient       -
apparmor.service                           enabled         enabled
apt-daily-upgrade.service                  static          -
apt-daily.service                          static          -
autovt@.service                            alias           -
console-getty.service                      disabled        disabled
container-getty@.service                   static          -
cryptdisks-early.service                   masked          enabled
cryptdisks.service                         masked          enabled
dbus-fi.w1.wpa_supplicant1.service         alias           -
dbus-org.freedesktop.hostname1.service     alias           -
dbus-org.freedesktop.locale1.service       alias           -
dbus-org.freedesktop.login1.service        alias           -
dbus-org.freedesktop.nm-dispatcher.service alias           -
dbus-org.freedesktop.resolve1.service      alias           -
dbus-org.freedesktop.timedate1.service     alias           -
dbus-org.freedesktop.timesync1.service     alias           -
dbus.service                               static          -
debug-shell.service                        disabled        disabled
dnsmasq.service                            disabled        enabled
dnsmasq@.service                           disabled        enabled
dpkg-db-backup.service                     static          -
e2scrub@.service                           static          -
e2scrub_all.service                        static          -
e2scrub_fail@.service                      static          -
e2scrub_reap.service                       enabled         enabled
emergency.service                          static          -
fstrim.service                             static          -
getty-static.service                       static          -
getty@.service                             enabled         enabled
getty@tty1.service                         masked          enabled
hostapd.service                            disabled        enabled
hostapd@.service                           disabled        enabled
hportal-server.service                     enabled         enabled
hwclock.service                            masked          enabled
initrd-cleanup.service                     static          -
initrd-parse-etc.service                   static          -
initrd-switch-root.service                 static          -
initrd-udevadm-cleanup-db.service          static          -
kmod-static-nodes.service                  static          -
kmod.service                               alias           -
ldconfig.service                           static          -
lzc-base-daemon.service                    enabled         enabled
lzc-os.service                             enabled         enabled
lzc-plymouth.service                       enabled         enabled
lzc-wifip2p-switcher.service               enabled         enabled
lzc-wifip2p.service                        disabled        enabled
lzc-wpa_supplicant-nl80211.service         disabled        enabled
modprobe@.service                          static          -
NetworkManager-dispatcher.service          enabled         enabled
NetworkManager-wait-online.service         enabled         enabled
NetworkManager.service                     enabled         enabled
nm-priv-helper.service                     static          -
pam_namespace.service                      static          -
polkit.service                             static          -
procps.service                             alias           -
quotaon.service                            static          -
rc-local.service                           static          -
rc.service                                 masked          enabled
rcS.service                                masked          enabled
rescue.service                             static          -
serial-getty@.service                      disabled        enabled
ssh.service                                disabled        enabled
system-update-cleanup.service              static          -
systemd-ask-password-console.service       static          -
systemd-ask-password-plymouth.service      static          -
systemd-ask-password-wall.service          static          -
systemd-backlight@.service                 static          -
systemd-battery-check.service              static          -
systemd-binfmt.service                     static          -
systemd-boot-check-no-failures.service     disabled        disabled
systemd-confext.service                    disabled        enabled
systemd-exit.service                       static          -
systemd-firstboot.service                  static          -
systemd-fsck-root.service                  static          -
systemd-fsck@.service                      static          -
systemd-growfs-root.service                static          -
systemd-growfs@.service                    static          -
systemd-halt.service                       static          -
systemd-hibernate.service                  static          -
systemd-hostnamed.service                  static          -
systemd-hwdb-update.service                static          -
systemd-hybrid-sleep.service               static          -
systemd-initctl.service                    static          -
systemd-journal-catalog-update.service     static          -
systemd-journal-flush.service              static          -
systemd-journald.service                   static          -
systemd-journald@.service                  static          -
systemd-kexec.service                      static          -
systemd-localed.service                    static          -
systemd-logind.service                     static          -
systemd-machine-id-commit.service          static          -
systemd-modules-load.service               static          -
systemd-network-generator.service          disabled        enabled
systemd-networkd-wait-online.service       disabled        enabled
systemd-networkd-wait-online@.service      disabled        enabled
systemd-networkd.service                   disabled        enabled
systemd-pcrfs-root.service                 static          -
systemd-pcrfs@.service                     static          -
systemd-pcrmachine.service                 static          -
systemd-pcrphase-initrd.service            static          -
systemd-pcrphase-sysinit.service           static          -
systemd-pcrphase.service                   static          -
systemd-poweroff.service                   static          -
systemd-pstore.service                     enabled         enabled
systemd-quotacheck.service                 static          -
systemd-random-seed.service                static          -
systemd-reboot.service                     static          -
systemd-remount-fs.service                 enabled-runtime enabled
systemd-repart.service                     static          -
systemd-resolved.service                   enabled         enabled
systemd-rfkill.service                     static          -
systemd-soft-reboot.service                static          -
systemd-suspend-then-hibernate.service     static          -
systemd-suspend.service                    static          -
systemd-sysctl.service                     static          -
systemd-sysext.service                     disabled        enabled
systemd-sysupdate-reboot.service           indirect        enabled
systemd-sysupdate.service                  indirect        enabled
systemd-sysusers.service                   static          -
systemd-time-wait-sync.service             disabled        disabled
systemd-timedated.service                  static          -
systemd-timesyncd.service                  enabled         enabled
systemd-tmpfiles-clean.service             static          -
systemd-tmpfiles-setup-dev-early.service   static          -
systemd-tmpfiles-setup-dev.service         static          -
systemd-tmpfiles-setup.service             static          -
systemd-udev-settle.service                static          -
systemd-udev-trigger.service               static          -
systemd-udevd.service                      static          -
systemd-update-done.service                static          -
systemd-update-utmp-runlevel.service       static          -
systemd-update-utmp.service                static          -
systemd-user-sessions.service              static          -
systemd-volatile-root.service              static          -
udev.service                               alias           -
user-runtime-dir@.service                  static          -
user@.service                              static          -
wpa_supplicant-nl80211@.service            disabled        enabled
wpa_supplicant-wired@.service              disabled        enabled
wpa_supplicant.service                     enabled         enabled
wpa_supplicant@.service                    disabled        enabled
x11-common.service                         masked          enabled
machine.slice                              static          -
system-systemd\x2dcryptsetup.slice         static          -
system-systemd\x2dveritysetup.slice        static          -
user.slice                                 static          -
dbus.socket                                static          -
ssh.socket                                 disabled        enabled
syslog.socket                              static          -
systemd-initctl.socket                     static          -
systemd-journald-audit.socket              disabled        enabled
systemd-journald-dev-log.socket            static          -
systemd-journald-varlink@.socket           static          -
systemd-journald.socket                    static          -
systemd-journald@.socket                   static          -
systemd-networkd.socket                    disabled        enabled
systemd-rfkill.socket                      static          -
systemd-udevd-control.socket               static          -
systemd-udevd-kernel.socket                static          -
basic.target                               static          -
blockdev@.target                           static          -
bluetooth.target                           static          -
boot-complete.target                       static          -
cryptsetup-pre.target                      static          -
cryptsetup.target                          static          -
ctrl-alt-del.target                        alias           -
default.target                             alias           -
emergency.target                           static          -
exit.target                                disabled        disabled
factory-reset.target                       static          -
final.target                               static          -
first-boot-complete.target                 static          -
getty-pre.target                           static          -
getty.target                               static          -
graphical.target                           static          -
halt.target                                disabled        disabled
hibernate.target                           static          -
hybrid-sleep.target                        static          -
initrd-fs.target                           static          -
initrd-root-device.target                  static          -
initrd-root-fs.target                      static          -
initrd-switch-root.target                  static          -
initrd-usr-fs.target                       static          -
initrd.target                              static          -
integritysetup-pre.target                  static          -
integritysetup.target                      static          -
kexec.target                               disabled        disabled
local-fs-pre.target                        static          -
local-fs.target                            static          -
multi-user.target                          static          -
network-online.target                      static          -
network-pre.target                         static          -
network.target                             static          -
nss-lookup.target                          static          -
nss-user-lookup.target                     static          -
paths.target                               static          -
poweroff.target                            disabled        disabled
printer.target                             static          -
reboot.target                              disabled        enabled
remote-cryptsetup.target                   disabled        enabled
remote-fs-pre.target                       static          -
remote-fs.target                           enabled         enabled
remote-veritysetup.target                  disabled        enabled
rescue-ssh.target                          static          -
rescue.target                              static          -
rpcbind.target                             static          -
runlevel0.target                           alias           -
runlevel1.target                           alias           -
runlevel2.target                           alias           -
runlevel3.target                           alias           -
runlevel4.target                           alias           -
runlevel5.target                           alias           -
runlevel6.target                           alias           -
shutdown.target                            static          -
